t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0,14.499198841734446,-14.991971989061176,-5.005909208115142,-4.8784177715243455,3.7702860587782814,5.2202091315918135,0.8783039673661921,0.3256398810155066,0.3210395140304793,-0.13955084819651903,0.2722562767647173,-0.5911731500937337,0.4340274599441312,6.8999873152795255,6.899999395113037,6.899999438509454,6.899995616181885
0.02112583197430385,14.396138207592765,-14.912321559288364,-4.895627947130406,-5.122510145481684,4.1116793634901185,5.127256929357296,0.8799819617294495,0.32875491067898877,0.31364997551235324,-0.13847616616810876,0.2776544714479961,-0.5886920945654975,0.43402794137932654,6.8999375471252975,6.899998311634503,6.899998282948605,6.89999199461569
0.0422516639486077,14.28792091897265,-14.825458911923059,-4.7873103787517195,-5.360363650449513,4.4550531434685166,5.031568501641519,0.8815729054121505,0.33190129841299915,0.3062541841358814,-0.13740129276861152,0.2830222583018275,-0.5861706381194365,0.43402870589160236,6.899905270189347,6.899998283210155,6.899998160269785,6.899993215025922
0.06337749592291156,14.174678777172089,-14.731342207777548,-4.681014308018841,-5.591921912652373,4.800432169972612,4.93329426423039,0.8830766761095227,0.3350786666283362,0.2988531656739704,-0.1363255539099418,0.2883530847218432,-0.5836150127444261,0.4340299396731666,6.899844181620999,6.899998249606304,6.899998011483772,6.899994181358405
0.0845033278972154,14.056544774431968,-14.629929084350664,-4.576794362312912,-5.817131695553648,5.147839901027673,4.83258607518072,0.8844932065287783,0.33828655886531467,0.29144789505354446,-0.13524827601353215,0.29363363143216675,-0.58103836165616,0.4340320436259101,6.899712272010958,6.899998210720484,6.899997831559651,6.899994940577156
0.10562915987151925,13.933653027659304,-14.521176683570935,-4.474701960887283,-6.035942703588945,5.497298074006748,4.7295973877809345,0.8858225288700691,0.34152436712408124,0.28403923987277774,-0.13416879003514437,0.29883190148762506,-0.5784727971841188,0.4340360094189431,6.899364284130316,6.899998166537817,6.899997613820912,6.899995537865864
0.1267549918458231,13.80613871629676,-14.405041688146806,-4.374785281166917,-6.248306794973929,5.848825256969738,4.624484195597605,0.8870648970384215,0.344791131427342,0.27662780573020007,-0.13308644269206638,0.303851131084798,-0.5760158382674182,0.4340448699346341,6.898069554817422,6.899998117169349,6.8999973493868705,6.899996010174505
0.14788082382012693,13.674138036822239,-14.281480388520999,-4.2770892050828975,-6.454173630540682,6.202429026252609,4.517411275332807,0.8882212087762393,0.3480848454022274,0.2692134034539635,-0.13200063667415088,0.30826806352463393,-0.5740933358386525,0.43407192329980504,6.887939880114114,6.899998062903927,6.899997026351656,6.899996385921159
0.16900665579443078,13.537788249170454,-14.15044891507984,-4.181655133521391,-6.653439243170095,6.55801266725395,4.408633112039259,0.8892951270452555,0.35139895841621477,0.26179237501180624,-0.1309110439325166,0.30812845406074774,-0.5766700237307547,0.434241286708693,6.713326193310593,6.899998004276503,6.8999966284844865,6.899996686520313
0.19013248776873462,13.397228809668002,-14.011905441386077,-4.088519091160097,-6.8449195077609515,6.913453324788801,4.300192154660208,0.8903159486363532,0.3546845714518831,0.2543287592170803,-0.12982006244694685,0.2297623506789829,-0.6574997011952803,0.43686374108087866,6.800263803535368,6.8999979420779045,6.899996133277667,6.899996927918509
0.21125831974303846,13.252624190269408,-13.865852988084397,-3.997673954243526,-7.030404680426352,7.272107968669697,4.189174537838821,0.8917869191503054,0.3571038659784198,0.2461843504542063,-0.1287873647815922,0.1911353316119622,-0.7000750675447881,0.4382648342462532,6.843257852346075,6.899997876416496,6.899995509385989,6.899997121842577
0.2323841517173423,13.104101042279362,-13.712223657039283,-3.909174156846111,-7.209141469612228,7.632731859461414,4.075234682487717,0.8934468180675798,0.35907725244566796,0.23766702974290874,-0.12779160001522516,0.17218999848178262,-0.7237339709485573,0.439061912734639,6.84923294529046,6.899997807100454,6.899994711916651,6.8999972771396685
0.2535099836916462,12.95180193091335,-13.550975846271387,-3.82308143368802,-7.380605742770631,7.994487020871335,3.95843586880034,0.8951660250152508,0.3608125711021929,0.22892957987744436,-0.12682004435586267,0.1561540786368137,-0.744888062683426,0.4397750410167772,6.846458506979418,6.899997733857058,6.899993674878023,6.899997400471679
0.27463581566595,12.795880494122995,-13.382085656747705,-3.7394561826426864,-7.544550248479971,8.357062413156077,3.838757287520295,0.896922604813682,0.36233908192167913,0.2199914937300948,-0.12587284605132817,0.13908279447014202,-0.7674323860466593,0.44052713468271004,6.841172210705524,6.899997656389714,6.89999229851229,6.899997496864591
0.29576164764025387,12.636495593251915,-13.2055357604086,-3.6583592411963983,-7.700775896681285,8.720248952805244,3.7161462243637082,0.8987190981548804,0.36364380138137803,0.21084033424232565,-0.12495407870664862,0.11986481350855065,-0.7925027631293688,0.44135347693058746,6.8355241341177475,6.899997574386169,6.899990426870803,6.899997570110731
0.3168874796145577,12.473810295586858,-13.021313246257538,-3.5798525604685474,-7.849083731583217,9.083853041618534,3.590518830201246,0.9005641268463187,0.36470158106477135,0.20145411462614532,-0.12406953657865281,0.09836372710704809,-0.8202819008975796,0.4422591430762135,6.829814004892788,6.899997487513943,6.89998780623168,6.899997623063091
0.33801331158886155,12.307991871521189,-12.829409293221035,-3.5039998629611415,-7.989256145554564,9.447662185241033,3.4617700314573923,0.9024660990067208,0.3654854631040971,0.1918090890259333,-0.12322576747773983,0.07457960892922844,-0.8508197659978629,0.4432449941379952,6.823728703486168,6.899997395415663,6.899984003418289,6.899997657851636
